tx_id,date,product,base_cost,competitor_price,price,promotion,marketing,seasonality,day_of_week,elasticity,demand,revenue
58,2023-01-21,P4,25.95,27.94,27.45,0,473.22,1,5,-2.111,0.0,0.0
59,2023-11-23,P8,10.39,11.93,13.55,0,1490.71,11,3,-0.456,80.28,1087.79
60,2023-01-15,P18,43.85,45.18,43.5,1,1488.27,1,6,-1.484,56.45,2455.58
61,2023-06-29,P11,19.81,28.07,26.7,0,194.62,6,3,-0.501,48.0,1281.6
62,2023-03-28,P2,7.71,7.01,6.92,0,87.09,3,1,-0.399,107.66,745.01
63,2023-01-18,P12,28.92,27.89,23.84,0,605.69,1,2,-1.981,45.28,1079.48
64,2023-05-19,P2,22.53,26.85,24.37,0,1407.37,5,4,-1.229,68.16,1661.06
65,2023-12-18,P10,6.59,7.59,7.21,0,714.13,12,0,-2.455,24.09,173.69
66,2023-08-15,P6,26.34,31.47,27.93,0,486.22,8,1,-0.251,41.4,1156.3
67,2023-11-03,P8,13.04,12.38,9.73,1,387.45,11,4,-0.696,30.26,294.43
68,2023-05-02,P6,5.87,7.07,7.4,0,357.76,5,1,-2.796,12.23,90.5
69,2023-06-11,P15,41.38,53.54,62.67,0,523.98,6,6,-1.666,13.72,859.83
70,2023-02-26,P10,37.65,40.65,35.45,0,627.98,2,6,-2.194,19.91,705.81
71,2023-08-31,P15,14.78,13.88,10.24,1,857.9,8,3,-0.494,37.89,387.99
72,2023-05-13,P20,36.45,42.2,42.12,0,1682.92,5,5,-2.565,30.56,1287.19
73,2023-04-08,P2,41.0,57.18,50.25,0,185.22,4,5,-2.013,15.6,783.9
74,2023-06-26,P20,47.98,60.02,50.98,0,481.38,6,0,-1.405,27.2,1386.66
75,2023-01-08,P18,25.14,35.62,39.04,0,243.61,1,6,-1.249,8.12,317.0
76,2023-05-09,P18,31.09,36.35,42.44,0,1507.97,5,1,-2.76,14.24,604.35
77,2023-06-01,P9,5.33,7.8,6.34,0,1512.6,6,3,-2.974,23.21,147.15
78,2023-10-06,P11,19.3,23.56,21.13,0,950.13,10,4,-2.517,17.21,363.65
79,2023-05-23,P4,40.74,59.29,54.49,1,174.45,5,1,-1.036,17.52,954.66
80,2023-12-23,P17,36.53,38.53,33.25,0,1025.67,12,5,-0.607,25.91,861.51
81,2023-03-31,P8,37.11,53.54,56.79,0,463.4,3,4,-1.239,8.45,479.88
82,2023-02-22,P4,37.91,38.58,37.13,0,131.33,2,2,-0.996,37.34,1386.43
83,2023-06-04,P19,31.41,37.02,38.74,0,1467.48,6,6,-1.623,27.46,1063.8
84,2023-11-29,P4,30.44,33.91,32.9,0,385.72,11,2,-0.673,79.73,2623.12
85,2023-06-26,P1,7.07,10.37,9.08,0,939.8,6,0,-2.952,12.88,116.95
86,2023-08-04,P18,19.18,23.58,23.35,0,696.61,8,4,-0.772,65.01,1517.98
87,2023-11-16,P1,47.66,55.81,50.77,0,1544.23,11,3,-2.24,28.23,1433.24
88,2023-02-02,P5,48.09,55.9,54.48,0,1138.47,2,3,-2.2,33.21,1809.28
89,2023-10-17,P17,49.61,72.84,81.14,0,231.16,10,1,-2.973,7.14,579.34
90,2023-07-07,P18,36.65,53.71,48.36,1,155.15,7,4,-1.702,8.53,412.51
91,2023-01-15,P7,7.64,7.9,7.95,0,1785.52,1,6,-1.677,54.5,433.28
92,2023-07-17,P5,27.25,26.9,26.74,1,1040.65,7,0,-2.932,18.76,501.64
93,2023-04-05,P14,9.03,13.09,9.1,1,497.62,4,2,-0.783,44.64,406.22
94,2023-04-06,P10,26.17,28.3,32.85,0,203.0,4,3,-1.99,6.92,227.32
95,2023-10-29,P18,27.32,38.66,33.98,0,1314.14,10,6,-1.112,17.08,580.38
96,2023-01-05,P16,11.55,12.11,13.21,0,20.76,1,3,-1.051,0.0,0.0
97,2023-01-28,P12,26.09,33.04,28.56,0,523.23,1,5,-1.932,22.1,631.18
98,2023-04-28,P20,31.71,43.79,35.58,0,574.24,4,4,-2.9,14.99,533.34
99,2023-03-29,P18,46.7,49.09,46.71,0,1003.24,3,2,-0.926,38.59,1802.54
100,2023-12-12,P20,7.95,11.19,11.85,0,1615.98,12,1,-1.457,33.25,394.01
101,2023-01-19,P7,38.94,44.81,50.67,0,1454.38,1,3,-0.25,81.15,4111.87
102,2023-08-24,P20,5.52,7.75,6.93,0,435.14,8,3,-1.916,13.62,94.39
103,2023-09-22,P12,21.12,31.66,28.64,0,190.96,9,4,-0.883,16.08,460.53
104,2023-10-18,P6,38.93,46.95,47.63,0,1494.5,10,2,-2.955,19.38,923.07
105,2023-12-06,P17,25.27,29.33,25.95,0,1166.05,12,2,-0.31,103.7,2691.02
106,2023-11-04,P15,13.96,16.89,14.79,0,892.41,11,5,-1.486,10.63,157.22
107,2023-11-07,P4,49.43,56.08,47.89,0,1945.54,11,1,-2.163,30.96,1482.67
108,2023-05-08,P13,8.16,10.94,11.04,0,1306.72,5,0,-0.834,58.73,648.38
109,2023-10-31,P1,19.49,18.85,18.25,0,433.47,10,1,-1.294,64.76,1181.87
110,2023-02-18,P16,15.91,23.4,25.83,1,96.89,2,5,-0.61,66.21,1710.2
111,2023-06-08,P5,18.08,24.98,28.54,0,717.98,6,3,-0.655,62.69,1789.17
112,2023-03-11,P12,49.86,70.76,68.17,0,867.55,3,5,-2.129,29.7,2024.65
113,2023-10-09,P18,21.78,22.83,19.71,0,673.79,10,0,-2.678,13.59,267.86
114,2023-10-02,P1,13.43,15.77,16.09,0,975.03,10,0,-0.676,58.73,944.97
115,2023-01-24,P5,27.84,40.0,41.46,0,241.71,1,1,-1.264,21.17,877.71
116,2023-06-13,P1,37.77,37.73,42.89,0,1442.88,6,1,-2.017,28.73,1232.23
117,2023-01-08,P18,32.51,36.88,39.89,0,786.01,1,6,-2.127,15.93,635.45
118,2023-12-31,P9,36.36,36.77,29.99,0,727.71,12,6,-1.711,29.43,882.61
119,2023-12-06,P16,32.7,30.98,28.62,0,1372.36,12,2,-2.831,17.05,487.97
120,2023-10-15,P14,38.88,54.0,45.62,1,1419.84,10,6,-1.435,34.85,1589.86
121,2023-10-31,P14,47.5,67.17,70.7,0,86.47,10,1,-1.235,27.49,1943.54
122,2023-08-23,P6,49.94,53.13,47.63,0,313.2,8,2,-1.31,10.04,478.21
123,2023-09-15,P16,15.81,18.55,17.02,0,608.38,9,4,-2.56,11.57,196.92
124,2023-09-26,P3,28.94,29.06,26.32,0,414.87,9,1,-1.642,36.39,957.78
125,2023-10-29,P15,24.14,24.14,24.23,0,1242.56,10,6,-0.745,94.43,2288.04
126,2023-01-18,P17,24.23,24.03,20.43,0,1905.9,1,2,-0.926,31.29,639.25
127,2023-07-06,P7,5.03,4.98,5.23,0,510.61,7,3,-2.807,17.79,93.04
128,2023-09-15,P1,9.71,9.1,6.77,1,1981.11,9,4,-1.868,70.81,479.38
129,2023-04-21,P1,13.45,19.81,16.68,0,114.49,4,4,-2.772,2.04,34.03
130,2023-11-10,P11,28.96,27.45,20.33,1,881.99,11,4,-1.075,84.95,1727.03
131,2023-11-12,P7,16.57,24.43,25.15,0,616.07,11,6,-2.023,19.82,498.47
132,2023-02-22,P6,30.79,38.27,45.53,0,1882.87,2,2,-2.008,22.83,1039.45
133,2023-05-21,P3,49.65,47.15,45.26,0,245.55,5,6,-2.071,0.0,0.0
134,2023-12-09,P4,42.65,40.23,33.6,0,1744.58,12,5,-0.202,62.69,2106.38
135,2023-10-05,P13,40.32,46.07,49.43,0,182.45,10,3,-1.523,7.7,380.61
136,2023-02-13,P2,39.05,46.61,48.44,0,1471.07,2,0,-2.259,27.8,1346.63
137,2023-10-31,P2,43.51,53.35,61.38,0,1016.42,10,1,-2.653,8.8,540.14
138,2023-08-28,P1,9.14,10.14,8.3,0,993.02,8,0,-1.591,41.82,347.11
139,2023-10-05,P12,36.17,38.5,38.89,0,1773.74,10,3,-1.107,34.12,1326.93
140,2023-01-04,P4,24.92,26.02,21.47,0,1367.14,1,2,-1.476,66.67,1431.4
141,2023-05-05,P17,40.49,51.68,50.11,0,1249.44,5,4,-1.461,36.9,1849.06
142,2023-03-14,P5,10.61,10.03,8.54,1,499.59,3,1,-2.29,14.18,121.1
143,2023-11-26,P10,28.72,31.07,30.14,0,1182.99,11,6,-2.854,26.3,792.68
144,2023-01-22,P3,15.9,16.98,18.44,0,1166.1,1,6,-1.295,16.5,304.26
145,2023-05-19,P2,20.15,24.93,26.51,0,1935.36,5,4,-0.465,81.3,2155.26
146,2023-02-27,P20,22.06,27.57,25.63,0,638.75,2,0,-2.801,21.73,556.94
147,2023-01-09,P2,31.25,29.37,30.86,0,1686.3,1,0,-0.698,36.92,1139.35
148,2023-02-02,P12,12.46,13.5,10.82,0,1292.14,2,3,-1.161,23.58,255.14
149,2023-12-26,P12,14.98,14.68,13.59,0,311.9,12,1,-2.355,30.02,407.97
150,2023-01-13,P3,23.63,26.04,24.4,0,1596.68,1,4,-2.918,11.62,283.53
151,2023-04-27,P7,7.7,7.68,7.73,0,436.41,4,3,-2.869,9.87,76.3
152,2023-04-11,P10,48.31,47.31,42.91,0,1735.23,4,1,-0.803,93.1,3994.92
153,2023-12-17,P10,14.8,22.07,25.07,0,1570.83,12,6,-0.716,41.58,1042.41
154,2023-04-07,P12,48.57,61.64,54.73,0,915.1,4,4,-2.731,23.82,1303.67
155,2023-05-07,P8,33.57,32.91,38.2,0,1174.61,5,6,-2.179,14.5,553.9
156,2023-05-05,P1,29.81,28.51,28.9,0,488.22,5,4,-2.24,14.69,424.54
157,2023-05-22,P3,46.24,49.15,44.88,0,50.03,5,0,-1.933,24.11,1082.06
158,2023-07-21,P12,14.68,18.89,19.22,0,408.77,7,4,-2.767,9.11,175.09
159,2023-11-24,P5,30.29,27.63,30.37,0,271.94,11,4,-1.217,22.73,690.31
160,2023-05-05,P8,49.36,51.91,55.93,0,957.77,5,4,-1.163,16.09,899.91
161,2023-12-26,P7,11.99,11.18,10.16,1,576.44,12,1,-0.873,79.27,805.38
162,2023-12-13,P2,47.25,57.6,53.68,0,1114.43,12,2,-2.057,30.83,1654.95
163,2023-02-09,P17,7.73,9.36,8.89,0,727.09,2,3,-2.031,22.39,199.05
164,2023-10-15,P9,29.55,29.35,25.1,0,1583.33,10,6,-2.443,24.58,616.96
165,2023-04-13,P11,21.57,31.53,29.31,0,1012.25,4,3,-2.841,14.44,423.24
166,2023-10-08,P5,11.83,13.52,10.26,1,1517.52,10,6,-0.299,42.1,431.95
167,2023-05-11,P15,13.67,12.54,11.34,1,1192.24,5,3,-2.177,27.28,309.36
168,2023-08-05,P11,35.74,36.21,30.76,0,739.32,8,5,-2.752,14.94,459.55
169,2023-02-06,P19,16.47,21.81,22.47,0,667.34,2,0,-0.611,60.86,1367.52
170,2023-04-04,P7,36.23,38.35,35.51,0,489.09,4,1,-0.817,81.42,2891.22
171,2023-08-28,P13,37.21,46.5,39.95,0,1560.96,8,0,-0.908,43.23,1727.04
172,2023-05-23,P1,47.14,42.44,34.71,0,746.5,5,1,-1.611,53.35,1851.78
173,2023-12-17,P10,29.02,37.38,42.12,0,1007.75,12,6,-0.313,75.29,3171.21
174,2023-10-30,P16,47.26,46.18,42.65,1,865.8,10,0,-1.55,16.96,723.34
175,2023-04-21,P16,22.56,26.97,21.76,0,1763.5,4,4,-0.876,55.96,1217.69
176,2023-02-01,P12,14.55,16.31,17.03,0,1649.18,2,2,-2.251,23.08,393.05
177,2023-12-19,P8,41.65,59.78,58.67,0,330.85,12,1,-1.103,22.07,1294.85
178,2023-05-12,P16,22.42,27.49,25.48,0,55.47,5,4,-1.691,26.78,682.35
179,2023-06-09,P9,40.87,49.04,42.23,0,189.72,6,4,-2.354,16.92,714.53
180,2023-09-19,P5,47.24,64.17,72.38,1,93.37,9,1,-2.335,2.08,150.55
181,2023-04-23,P9,12.93,12.61,14.35,0,1990.27,4,6,-1.504,56.06,804.46
182,2023-10-28,P14,23.81,22.45,25.55,0,1236.13,10,5,-2.835,13.7,350.04
183,2023-01-05,P19,8.39,9.67,11.43,0,1568.11,1,3,-2.345,24.41,279.01
184,2023-06-15,P9,9.81,12.14,14.04,0,1017.85,6,3,-2.552,6.32,88.73
185,2023-05-09,P10,36.73,43.63,43.26,0,1597.91,5,1,-0.34,150.71,6519.71
186,2023-09-17,P10,29.83,33.03,36.1,0,3.34,9,6,-2.136,4.99,180.14
187,2023-05-20,P16,40.49,42.07,35.36,0,1928.79,5,5,-2.064,29.19,1032.16
188,2023-05-05,P3,16.2,23.93,28.49,0,1744.63,5,4,-2.767,13.79,392.88
189,2023-03-04,P11,18.44,25.14,25.92,0,1928.55,3,5,-1.409,14.77,382.84
190,2023-01-19,P13,45.6,60.66,51.41,0,1881.78,1,3,-2.773,23.39,1202.48
191,2023-02-09,P5,10.52,15.0,16.95,0,1082.81,2,3,-2.617,18.2,308.49
192,2023-11-02,P9,11.68,13.0,15.09,0,1006.32,11,3,-1.491,23.46,354.01
193,2023-04-24,P1,11.86,12.77,12.38,0,310.49,4,0,-2.141,4.33,53.61
194,2023-06-25,P1,27.52,40.03,41.26,0,557.9,6,6,-1.812,17.66,728.65
195,2023-08-29,P2,47.49,71.03,81.12,1,551.25,8,1,-1.977,1.75,141.96
196,2023-09-10,P14,29.72,41.26,36.63,0,1727.16,9,6,-2.058,19.18,702.56
197,2023-08-03,P8,45.64,51.5,55.74,0,303.69,8,3,-2.21,1.66,92.53
198,2023-11-07,P4,38.98,45.7,52.39,0,1316.08,11,1,-2.148,23.78,1245.83
199,2023-06-13,P13,19.43,27.1,21.82,0,644.99,6,1,-0.663,59.28,1293.49
200,2023-04-18,P8,8.34,10.46,9.37,0,546.45,4,1,-1.688,22.13,207.36
201,2023-11-25,P19,33.86,44.89,46.5,0,700.85,11,5,-1.02,37.95,1764.68
202,2023-07-22,P20,28.71,42.05,39.8,1,18.78,7,5,-2.29,0.0,0.0
203,2023-03-16,P7,9.71,10.33,10.76,0,989.81,3,3,-0.91,34.8,374.45
204,2023-03-16,P5,12.51,11.47,10.93,0,1876.67,3,3,-0.417,146.5,1601.24
205,2023-10-30,P10,25.01,28.48,25.14,0,635.48,10,0,-2.366,13.43,337.63
206,2023-10-13,P15,12.65,13.43,11.42,0,224.04,10,4,-0.353,38.11,435.22
207,2023-12-10,P11,33.6,31.0,25.57,0,178.14,12,6,-2.782,24.58,628.51
208,2023-09-05,P8,28.38,33.32,24.71,1,1741.78,9,1,-1.6,38.52,951.83
209,2023-01-12,P6,32.03,30.51,33.01,1,364.83,1,3,-0.362,80.65,2662.26
210,2023-03-28,P11,29.6,29.95,30.96,0,175.29,3,1,-1.692,16.99,526.01
211,2023-06-16,P20,18.46,26.9,23.81,0,700.65,6,4,-0.718,29.02,690.97
212,2023-10-22,P9,11.74,15.03,16.36,0,1181.08,10,6,-2.652,13.25,216.77
213,2023-11-26,P3,12.16,16.63,15.57,0,1433.07,11,6,-1.645,25.7,400.15
214,2023-02-05,P18,17.41,19.71,19.44,0,62.04,2,6,-1.047,12.86,250.0
215,2023-03-22,P7,42.54,46.67,45.7,1,435.11,3,2,-2.03,18.3,836.31
216,2023-12-22,P8,41.62,43.07,42.39,0,426.02,12,4,-2.473,8.52,361.16
217,2023-08-21,P20,8.49,11.13,11.6,0,486.5,8,0,-1.991,12.45,144.42
218,2023-09-28,P4,39.6,54.61,52.2,0,905.94,9,3,-1.181,18.34,957.35
219,2023-09-26,P4,38.25,47.05,49.26,0,1359.78,9,1,-1.735,23.96,1180.27
220,2023-01-29,P20,10.62,11.59,13.16,0,972.29,1,6,-0.226,49.69,653.92
221,2023-02-28,P20,5.87,6.83,5.65,1,1353.17,2,1,-0.873,86.67,489.69
222,2023-10-19,P11,38.8,56.61,65.54,1,1615.84,10,3,-2.086,11.7,766.82
223,2023-08-04,P1,46.33,49.6,39.7,0,1471.14,8,4,-0.651,58.87,2337.14
224,2023-06-06,P9,40.84,59.52,54.65,0,527.43,6,1,-1.911,12.74,696.24
225,2023-10-06,P6,34.15,37.48,31.19,0,1570.66,10,4,-2.126,43.53,1357.7
226,2023-03-18,P14,42.98,48.98,55.56,0,1813.73,3,5,-0.514,90.76,5042.63
227,2023-03-16,P4,11.65,13.33,15.54,0,552.96,3,3,-2.543,2.97,46.15
228,2023-04-22,P20,22.26,31.14,30.74,0,1129.47,4,5,-0.579,80.4,2471.5
229,2023-10-15,P16,47.68,62.77,55.36,0,1613.52,10,6,-2.94,9.72,538.1
230,2023-03-31,P11,38.8,47.05,52.54,0,1598.01,3,4,-1.963,22.12,1162.18
231,2023-03-15,P17,40.62,41.61,37.71,0,799.67,3,2,-2.812,16.17,609.77
232,2023-03-14,P6,43.29,57.59,54.73,0,555.37,3,1,-1.593,9.36,512.27
233,2023-10-31,P9,5.89,8.33,7.98,0,1135.8,10,1,-2.325,17.76,141.72
234,2023-02-19,P10,10.12,13.05,11.61,0,1410.48,2,6,-1.72,25.4,294.89
235,2023-09-13,P1,5.02,6.83,3.67,1,968.38,9,2,-0.695,124.67,457.54
236,2023-09-22,P5,28.73,36.8,31.24,0,169.99,9,4,-2.673,10.66,333.02
237,2023-03-26,P13,16.71,19.85,20.36,0,1202.13,3,6,-1.024,69.22,1409.32
238,2023-10-25,P1,14.68,19.94,17.23,0,807.97,10,2,-0.296,89.01,1533.64
239,2023-01-16,P4,27.36,34.89,37.48,0,1446.9,1,0,-1.757,21.16,793.08
240,2023-10-31,P9,8.68,7.96,7.25,0,1030.41,10,1,-0.474,33.23,240.92
241,2023-03-15,P5,32.32,30.68,31.51,0,1449.46,3,2,-2.08,35.73,1125.85
242,2023-01-01,P5,5.52,8.26,8.57,0,369.02,1,6,-1.023,20.87,178.86
243,2023-10-16,P10,12.81,19.08,16.51,0,1542.4,10,0,-2.737,28.95,477.96
244,2023-09-20,P12,45.79,44.86,49.19,0,1432.57,9,2,-2.866,17.03,837.71
245,2023-01-14,P12,16.02,23.44,20.77,1,1414.58,1,5,-0.989,50.55,1049.92
246,2023-10-15,P7,14.49,14.41,15.51,0,943.77,10,6,-2.088,20.07,311.29
247,2023-12-07,P9,7.44,7.86,8.6,0,1014.38,12,3,-1.133,39.36,338.5
248,2023-02-20,P7,5.17,5.2,3.53,1,623.97,2,0,-1.275,50.31,177.59
249,2023-06-25,P18,36.28,40.37,37.67,0,1298.62,6,6,-1.889,39.13,1474.03
250,2023-09-17,P4,16.81,18.6,16.87,0,230.24,9,6,-2.79,1.56,26.32
251,2023-10-26,P16,41.01,54.54,44.18,0,563.75,10,3,-1.158,41.37,1827.73
252,2023-01-24,P16,32.62,46.51,37.74,0,1658.21,1,1,-0.472,86.63,3269.42
253,2023-09-24,P13,47.42,70.53,62.03,0,496.19,9,6,-2.489,0.0,0.0
254,2023-02-27,P4,30.19,30.34,26.06,0,365.1,2,0,-0.863,86.19,2246.11
255,2023-12-30,P13,14.74,18.09,18.77,0,73.15,12,5,-2.095,1.7,31.91
256,2023-02-19,P1,46.13,54.6,50.18,0,1147.92,2,6,-0.526,80.77,4053.04
257,2023-06-15,P7,7.8,10.36,11.54,0,1753.27,6,3,-1.817,29.25,337.54
258,2023-11-28,P3,29.9,41.65,45.57,0,837.44,11,1,-0.744,31.38,1429.99
259,2023-07-10,P14,31.09,40.35,33.2,0,1016.08,7,0,-0.33,96.02,3187.86
260,2023-08-23,P4,9.62,10.56,9.43,0,1084.89,8,2,-1.214,50.72,478.29
261,2023-10-26,P9,21.23,20.83,21.06,0,1385.21,10,3,-0.778,105.81,2228.36
262,2023-12-02,P2,48.73,64.04,51.41,0,1051.5,12,5,-0.395,109.41,5624.77
263,2023-03-29,P16,15.05,17.48,14.85,1,1767.03,3,2,-2.667,36.62,543.81
264,2023-11-14,P5,7.61,9.71,9.27,0,701.17,11,1,-2.165,21.38,198.19
265,2023-05-29,P8,6.26,8.79,7.41,1,1890.33,5,0,-2.537,35.25,261.2
266,2023-11-27,P18,41.54,59.14,70.24,0,1528.43,11,0,-1.491,32.26,2265.94
267,2023-05-30,P14,17.78,20.56,24.13,0,219.46,5,1,-1.07,48.21,1163.31
268,2023-11-11,P18,7.96,11.36,9.15,0,1522.92,11,5,-0.504,89.0,814.35
269,2023-09-06,P13,22.4,27.04,29.59,0,866.64,9,2,-2.144,11.43,338.21
270,2023-02-21,P6,37.8,34.37,38.37,0,1165.31,2,1,-0.887,88.47,3394.59
271,2023-09-04,P14,37.2,34.53,27.83,0,643.5,9,0,-0.241,60.72,1689.84
272,2023-12-17,P19,17.52,22.49,21.16,0,1330.99,12,6,-1.968,20.12,425.74
273,2023-10-13,P16,47.5,68.33,73.8,0,356.0,10,4,-1.559,16.1,1188.18
274,2023-06-03,P8,21.68,22.26,20.29,0,1038.34,6,5,-1.379,46.41,941.66
275,2023-08-13,P13,40.53,53.46,54.72,0,402.6,8,6,-0.308,123.31,6747.52
276,2023-03-03,P6,41.74,42.5,32.96,1,1363.49,3,4,-2.346,35.3,1163.49
277,2023-11-29,P6,37.02,49.48,53.64,0,634.82,11,2,-0.872,34.47,1848.97
278,2023-03-24,P10,27.73,36.24,33.84,0,1073.53,3,4,-0.517,59.54,2014.83
279,2023-01-18,P1,29.47,30.2,35.25,0,220.26,1,2,-1.955,27.65,974.66
280,2023-10-30,P19,17.35,23.55,20.79,0,2.85,10,0,-0.708,43.05,895.01
281,2023-05-05,P2,32.84,32.98,27.43,0,1211.94,5,4,-1.299,23.31,639.39
282,2023-02-14,P14,7.69,10.38,10.17,0,1822.52,2,1,-2.539,22.1,224.76
283,2023-05-15,P18,35.78,42.96,46.28,1,1487.94,5,0,-2.427,18.77,868.68
284,2023-04-27,P1,20.88,27.47,25.21,0,59.04,4,3,-2.559,9.19,231.68
285,2023-01-02,P10,44.85,44.07,52.69,0,1345.14,1,0,-1.212,57.61,3035.47
286,2023-02-26,P10,22.03,24.43,26.7,0,551.38,2,6,-2.615,7.46,199.18
287,2023-10-05,P3,7.59,8.0,6.95,1,18.59,10,3,-2.499,14.11,98.06
288,2023-01-18,P16,17.89,18.66,14.95,0,140.56,1,2,-0.281,80.82,1208.26
289,2023-11-13,P9,13.42,15.38,18.12,0,1321.85,11,0,-1.088,17.84,323.26
290,2023-12-26,P20,39.15,44.08,38.8,0,716.84,12,1,-1.325,50.3,1951.64
